,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,season
0,E0,18/08/01,Charlton,Everton,1,2,A,0,0,D,20451.0,N. S. Barry,8,12,4,9,0,0,4,4,15,17,2,1,0,3,0,0,0,30,,,,2.0,2.9,3.0,1.83,3.2,3.75,,,,2.0,3.25,3.25,2.0,3.2,3.2,0102
1,E0,18/08/01,Derby,Blackburn,2,1,H,1,0,H,28236.0,P. A. Durkin,7,14,3,4,0,0,4,10,14,15,3,1,1,0,0,0,10,0,,,,2.3,2.9,2.5,2.25,3.2,2.75,,,,2.25,3.25,2.75,2.25,3.2,2.75,0102
2,E0,18/08/01,Leeds,Southampton,2,0,H,0,0,D,39715.0,C. R. Wilkes ,16,11,6,6,1,0,10,3,16,24,3,2,1,2,0,1,10,45,,,,1.4,3.6,5.5,1.44,3.6,6.5,,,,1.4,4.0,6.5,1.36,3.75,8.0,0102
3,E0,18/08/01,Leicester,Bolton,0,5,A,0,4,A,19987.0,R. Styles,6,18,1,8,0,0,3,5,21,17,4,0,4,3,0,0,40,30,,,,1.85,3.0,3.3,1.73,3.4,4.0,,,,1.83,3.4,3.6,1.72,3.4,4.0,0102
4,E0,18/08/01,Liverpool,West Ham,2,1,H,1,1,D,43935.0,J. T. Winter,9,3,6,3,1,0,5,3,13,12,0,6,1,5,0,0,10,50,,,,1.4,3.6,5.5,1.4,3.75,7.0,,,,1.36,4.33,6.5,1.36,3.75,8.0,0102
5,E0,18/08/01,Middlesbrough,Arsenal,0,4,A,0,1,A,31557.0,G. P. Barber,6,14,2,9,0,0,2,6,13,19,4,0,2,3,1,1,45,55,,,,2.9,2.9,2.1,3.0,3.2,2.1,,,,3.0,3.25,2.1,3.2,3.2,2.0,0102
6,E0,18/08/01,Sunderland,Ipswich,1,0,H,1,0,H,47370.0,G. Poll,12,10,6,4,0,0,1,1,22,20,5,5,0,1,0,0,0,10,,,,1.85,3.0,3.3,2.0,3.2,3.2,,,,1.91,3.4,3.4,1.83,3.3,3.6,0102
7,E0,18/08/01,Tottenham,Aston Villa,0,0,D,0,0,D,36059.0,D. J. Gallagher,8,11,2,2,1,1,6,5,12,17,1,3,3,2,0,0,30,20,,,,2.1,2.9,2.9,2.0,3.2,3.2,,,,2.0,3.25,3.25,1.9,3.25,3.4,0102
8,E0,19/08/01,Chelsea,Newcastle,1,1,D,1,0,H,40124.0,A. P. D'Urso ,13,9,8,3,0,0,12,7,19,20,2,3,3,4,0,0,30,40,,,,1.6,3.3,4.0,1.5,3.25,6.5,,,,1.57,3.6,5.0,1.57,3.25,5.5,0102
9,E0,19/08/01,Man United,Fulham,3,2,H,1,1,D,67534.0,P. Jones ,12,8,6,5,1,0,6,4,17,19,10,3,0,1,0,0,0,10,,,,1.4,3.6,5.5,1.28,4.5,8.0,,,,1.29,4.5,8.5,1.28,4.33,8.5,0102
10,E0,20/08/01,Everton,Tottenham,1,1,D,0,1,A,29503.0,D. R. Elleray ,18,7,11,2,1,0,8,0,15,12,3,1,3,2,0,2,30,70,,,,2.2,2.9,2.7,2.2,3.25,2.75,,,,2.2,3.25,2.8,2.25,3.2,2.75,0102
11,E0,21/08/01,Arsenal,Leeds,1,2,A,1,1,D,38062.0,J. T. Winter ,14,5,5,2,0,0,10,2,28,29,2,2,4,5,0,2,40,100,,,,1.8,3.0,3.5,1.8,3.2,4.0,,,,1.83,3.4,3.6,1.72,3.25,4.2,0102
12,E0,21/08/01,Bolton,Middlesbrough,1,0,H,1,0,H,20747.0,S. W. Dunn ,13,11,3,4,0,0,5,2,19,16,4,6,1,1,0,0,10,10,,,,2.2,3.0,2.6,2.2,3.25,2.75,,,,2.1,3.25,3.0,2.2,3.25,2.75,0102
13,E0,21/08/01,Ipswich,Derby,3,1,H,1,0,H,21197.0,E. K. Wolstenholme ,30,2,18,2,0,0,19,2,21,14,2,5,0,3,0,1,0,55,,,,1.65,3.2,3.9,1.67,3.25,4.5,,,,1.67,3.4,4.5,1.66,3.3,4.5,0102
14,E0,22/08/01,Blackburn,Man United,2,2,D,0,1,A,29836.0,A. G. Wiley ,12,18,5,7,2,2,3,8,18,16,4,7,2,1,1,0,45,10,,,,4.2,3.2,1.6,4.5,3.5,1.61,,,,4.5,3.4,1.67,4.5,3.3,1.66,0102
15,E0,22/08/01,Fulham,Sunderland,2,0,H,0,0,D,20197.0,B. Knight ,13,8,5,3,0,0,8,9,18,20,3,4,0,2,0,0,0,20,,,,2.0,2.9,3.0,2.37,3.2,2.6,,,,2.1,3.25,3.0,1.9,3.2,3.5,0102
16,E0,25/08/01,Arsenal,Leicester,4,0,H,2,0,H,37909.0,A. P. D'Urso ,20,2,11,0,0,0,9,0,14,20,3,1,1,4,1,1,35,65,,,,1.25,4.3,8.0,1.25,4.5,10.0,,,,1.25,5.0,8.5,1.22,5.0,9.5,0102
17,E0,25/08/01,Blackburn,Tottenham,2,1,H,1,0,H,24922.0,S. G. Bennett,12,12,7,5,1,0,3,6,14,11,4,6,1,1,0,0,10,10,,,,2.1,2.9,2.9,2.25,3.2,2.75,,,,2.25,3.25,2.75,2.3,3.1,2.75,0102
18,E0,25/08/01,Everton,Middlesbrough,2,0,H,1,0,H,32829.0,U. D. Rennie,7,5,5,1,0,0,3,6,25,23,4,3,2,1,0,0,20,10,,,,2.0,2.9,3.0,2.1,3.2,3.0,,,,1.91,3.25,3.5,2.0,3.1,3.3,0102
19,E0,25/08/01,Fulham,Derby,0,0,D,0,0,D,,M. L Dean,10,9,1,2,0,0,11,3,12,14,0,2,2,3,0,0,20,30,,,,1.55,3.3,4.5,1.5,3.4,6.0,,,,1.62,3.6,4.5,1.5,3.4,6.0,0102
20,E0,25/08/01,Ipswich,Charlton,0,1,A,0,0,D,22804.0,S. W. Dunn ,17,13,11,6,0,0,6,1,22,20,0,7,2,6,0,0,20,60,,,,1.7,3.1,3.8,1.61,3.25,5.0,,,,1.73,3.25,4.33,1.61,3.3,5.0,0102
21,E0,25/08/01,Southampton,Chelsea,0,2,A,0,1,A,31107.0,D. R. Elleray ,8,7,2,2,0,0,6,2,13,18,6,5,0,1,0,0,0,10,,,,2.9,2.9,2.1,2.75,3.2,2.25,,,,2.88,3.4,2.1,3.0,3.2,2.1,0102
22,E0,25/08/01,West Ham,Leeds,0,0,D,0,0,D,24517.0,P. A. Durkin ,11,10,3,4,0,0,5,8,19,14,3,4,3,2,0,0,30,20,,,,2.9,2.9,2.1,3.2,3.2,2.0,,,,3.25,3.25,2.0,3.1,3.3,2.0,0102
23,E0,26/08/01,Aston Villa,Man United,1,1,D,1,0,H,42632.0,G. P. Barber ,11,13,4,7,0,0,5,5,9,12,4,4,0,2,0,0,0,20,,,,3.5,3.0,1.8,4.0,3.2,1.8,,,,3.75,3.4,1.8,4.2,3.25,1.72,0102
24,E0,26/08/01,Newcastle,Sunderland,1,1,D,1,1,D,52021.0,M. A. Riley ,16,6,6,3,0,0,10,4,19,18,2,2,2,2,0,0,20,20,,,,2.0,2.9,3.0,2.2,3.2,2.8,,,,2.2,3.25,2.8,2.2,3.1,2.87,0102
25,E0,27/08/01,Bolton,Liverpool,2,1,H,1,0,H,27205.0,G. Poll ,11,18,4,7,0,0,4,6,13,11,3,4,2,2,0,0,20,20,,,,3.5,3.0,1.8,4.33,3.4,1.67,,,,5.0,3.5,1.57,5.5,3.3,1.57,0102
26,E0,08/09/01,Chelsea,Arsenal,1,1,D,1,1,D,40855.0,M. A. Riley ,10,14,5,11,0,0,5,6,20,20,1,3,1,5,1,0,35,50,,,,2.3,2.9,2.5,2.4,3.25,2.5,2.4,3.2,2.6,2.5,3.2,2.5,2.5,3.1,2.5,0102
27,E0,08/09/01,Derby,West Ham,0,0,D,0,0,D,27802.0,C. R. Wilkes,6,10,3,4,0,1,3,4,22,19,3,1,5,2,0,0,50,20,,,,2.0,2.9,3.0,2.2,3.25,2.75,2.1,3.25,3.0,2.2,3.25,2.8,2.2,3.1,2.87,0102
28,E0,08/09/01,Leeds,Bolton,0,0,D,0,0,D,40153.0,S. G. Bennett,11,8,6,4,0,0,7,5,13,17,7,0,1,1,0,0,10,10,,,,1.45,3.5,5.0,1.44,3.6,6.5,1.4,3.75,7.5,1.5,3.5,6.0,1.44,3.75,6.0,0102
29,E0,08/09/01,Leicester,Ipswich,1,1,D,0,1,A,18774.0,B. Knight,12,13,7,9,0,0,6,3,26,24,2,2,3,3,1,1,55,55,,,,2.3,3.1,2.3,2.6,3.2,2.37,2.8,3.2,2.25,2.62,3.4,2.25,2.8,3.2,2.2,0102
30,E0,08/09/01,Liverpool,Aston Villa,1,3,A,0,1,A,44102.0,A. P. D'Urso,12,10,7,7,0,0,7,0,19,14,1,2,3,1,1,0,55,10,,,,1.55,3.3,4.5,1.57,3.25,5.5,1.53,3.4,6.0,1.5,3.5,6.0,1.53,3.4,5.5,0102
31,E0,08/09/01,Man United,Everton,4,1,H,2,0,H,67534.0,D. J. Gallagher,18,5,9,1,1,2,6,2,7,11,1,3,0,1,0,0,0,10,,,,1.3,4.0,7.0,1.36,3.75,8.0,1.29,4.5,8.5,1.3,4.5,8.0,1.3,4.33,8.0,0102
32,E0,08/09/01,Middlesbrough,Newcastle,1,4,A,1,1,D,30004.0,G. Poll,8,8,4,5,0,0,3,3,15,17,4,4,1,3,1,0,35,30,,,,2.3,2.9,2.5,2.5,2.87,2.62,2.4,3.2,2.6,2.38,3.25,2.6,2.37,3.1,2.62,0102
33,E0,08/09/01,Sunderland,Blackburn,1,0,H,0,0,D,45103.0,M. L Dean,11,10,4,4,0,0,4,10,9,14,3,1,2,3,0,0,20,30,,,,1.8,3.0,3.5,1.73,3.2,4.33,1.8,3.25,4.0,1.91,3.4,3.4,1.8,3.3,3.75,0102
